1.000000000000000000e+00;4.949300000000000000e+04
2.000000000000000000e+00;3.801050000000000000e+04
3.000000000000000000e+00;3.787250000000000000e+04
4.000000000000000000e+00;3.897950000000000000e+04
5.000000000000000000e+00;3.792600000000000000e+04
6.000000000000000000e+00;3.434800000000000000e+04
7.000000000000000000e+00;2.937800000000000000e+04
8.000000000000000000e+00;2.430650000000000000e+04
9.000000000000000000e+00;1.905100000000000000e+04
1.000000000000000000e+01;1.480200000000000000e+04
1.100000000000000000e+01;1.053350000000000000e+04
1.200000000000000000e+01;7.236500000000000000e+03
1.300000000000000000e+01;4.689000000000000000e+03
1.400000000000000000e+01;2.848000000000000000e+03
1.500000000000000000e+01;1.626500000000000000e+03
1.600000000000000000e+01;8.530000000000000000e+02
1.700000000000000000e+01;4.800000000000000000e+02
1.800000000000000000e+01;2.385000000000000000e+02
1.900000000000000000e+01;9.000000000000000000e+01
2.000000000000000000e+01;4.450000000000000000e+01
2.100000000000000000e+01;2.650000000000000000e+01
2.200000000000000000e+01;9.000000000000000000e+00
2.300000000000000000e+01;5.000000000000000000e+00
2.400000000000000000e+01;5.000000000000000000e-01
